Fichero generado por el Mityc30/10/2013
Longitud;Latitud;Descripcion
-16.66733;28.06075;ES359 L-D: 24H 1,074 e
-14.23089;28.16039;DISA COSTA CALMA L-D: 06:00-22:00 1,075 e
-16.52956;28.41172;SHELL EL AGUILA L-D: 07:00-23:00 1,075 e
-14.34536;28.04972;SHELL L-D: 24H 1,075 e
-15.42511;28.12669;CEPSA LA MARINA Horario Especial 1,077 e
-16.23189;28.48911;DISA BALNEARIO I L-D: 06:00-22:00 1,077 e
-16.23961;28.48283;ESTACION DE SERVICIO ANAG Horario Especial 1,077 e
-16.2535;28.45836;DISA FOMENTO L-D: 24H 1,079 e
-16.71539;28.05281;DISA LOS CRISTIANOS L-D: 07:00-23:00 1,079 e
-17.33561;28.0945;DISA VALLE GRAN REY Horario Especial 1,079 e
-16.81558;28.29383;DISA Horario Especial 1,079 e
-16.28581;28.46767;DISA OFRA Horario Especial 1,079 e
-16.28378;28.46611;DISA VISTABELLA Horario Especial 1,079 e
-16.81272;28.28083;TEXACO Horario Especial 1,079 e
-5.31956;35.89156;CEPSA L-D: 07:00-23:00 1,079 e
-5.32292;35.88525;CEPSA L-D: 07:00-23:00 1,079 e
-16.23161;28.48861;DISA BALNEARIO II L-D: 24H 1,079 e
-16.317;28.42542;SHELL EL CHORRILLO L-D: 06:30-22:00 1,079 e
-15.75533;27.83014;DISA L-D: 06:00-22:00 1,079 e
-16.3045;28.42731;DISA CUEVAS BLANCAS L-D: 06:30-23:00 1,079 e
-16.34736;28.55225;DISA BAJAMAR L-D: 07:00-22:00 1,079 e
-16.76289;28.15897;DISA TIJOCO L-D: 24H 1,079 e
-16.61269;28.05;DISA LAS CHAFIRAS L-D: 24H 1,079 e
-16.81903;28.27019;DISA Horario Especial 1,079 e
-16.64017;28.15303;DISA Horario Especial 1,079 e
-17.26497;28.17903;DISA VALLEHERMOSO Horario Especial 1,079 e
-16.82225;28.19386;DISA PLAYA SAN JUAN L-D: 06:00-23:00 1,079 e
-16.28344;28.45244;DISA LAS DELICIAS L-D: 06:00-22:00 1,079 e
-16.73189;28.10481;DISA FANABE L-D: 06:00-22:00 1,079 e
-16.82428;28.26081;DISA BAJADA A LOS GIGANTE L-D: 06:00-22:00 1,079 e
-16.69214;28.06133;CEPSA L-D: 24H 1,079 e
-16.78794;28.22469;CEPSA Horario Especial 1,079 e
-5.31944;35.88997;CEPSA L-D: 07:00-23:00 1,079 e
-5.32292;35.89406;CEPSA L-D: 24H 1,079 e
-5.32092;35.89256;DISA  L-D: 06:00-23:59 1,079 e
-5.32867;35.89322;DISA  L-D: 06:00-23:59 1,079 e
-16.32022;28.41933;DISA L-D: 24H 1,080 e
-17.83522;28.50092;PCAN L-D: 06:00-23:00 1,080 e
-17.84136;28.494;DISA  L-D: 07:00-21:00 1,080 e
-14.35875;28.04872;DISA MUELLE MORRO JABLE L-D: 07:00-21:00 1,080 e
-16.25683;28.45917;SHELL LA SALLE L-D: 24H 1,081 e
-16.76661;28.17478;SHELL L-D: 24H 1,081 e
-16.24289;28.47917;DISA NAUTICO L-D: 24H 1,081 e
-16.26517;28.45725;DISA TRES DE MAYO L-D: 24H 1,081 e
-16.27831;28.45428;E.S.SHELL OFRA L-D: 07:00-23:00 1,081 e
-16.78203;28.21242;SHELL Horario Especial 1,081 e
-18.01194;27.75194;DISA FRONTERA L-D: 07:00-22:00 1,082 e
-17.91422;27.81167;DISA VALVERDER L-D: 07:00-22:00 1,082 e
-17.97936;27.70533;DISA EL PINAR Horario Especial 1,082 e
-13.54278;28.98822;CEPSA TAHICHE 1 L-D: 24H 1,082 e
-13.54381;28.98767;CEPSA TAHICHE 2 L-D: 06:30-22:30 1,082 e
-13.57078;28.97631;CEPSA L-D: 07:00-23:00 1,083 e
-13.53628;28.97931;SHELL L-D: 06:30-00:00 1,083 e
-13.53581;28.97981;SHELL L-D: 07:00-00:00 1,083 e
-13.60781;28.95381;CEPSA L-D: 07:00-23:00 1,083 e
-13.60378;28.95542;CEPSA L-D: 07:00-23:00 1,083 e
-17.77447;28.80519;CEPSA L-D: 06:00-22:00 1,084 e
-17.76989;28.67111;CEPSA L-D: 06:00-22:00 1,084 e
-16.27706;28.46308;CEPSA L-D: 06:00-23:00 1,084 e
-16.79939;28.24458;TEXACO L-D: 06:00-22:00 1,084 e
-17.76867;28.67861;DISA L-D: 06:30-22:00 1,084 e
-16.27942;28.46406;SHELL EL RAMONAL L-D: 06:30-22:30 1,084 e
-17.18867;28.17231;CEPSA Horario Especial 1,084 e
-13.64928;28.95139;PCAN L-D: 06:00-23:00 1,084 e
-16.301;28.42747;REPSOL L-D: 06:00-22:00 1,084 e
-13.67075;29.06503;CEPSA TINAJO Horario Especial 1,085 e
-13.54372;28.96825;PCAN L-D: 24H 1,087 e
-13.763;28.95461;E.S.YAIZA L-D: 08:00-21:00 1,087 e
-17.77283;28.80103;DISA L-D: 07:00-21:00 1,087 e
-17.90803;28.63136;DISA L-D: 06:30-22:30 1,087 e
-17.78703;28.66567;DISA L-D: 07:00-22:00 1,087 e
-13.70439;28.91597;MARINA PUERTO CALERO L-D: 08:00-20:00 1,087 e
-17.91642;28.65886;DISA  L-D: 06:00-22:00 1,087 e
-17.88147;28.65056;DISA L-D: 06:00-22:00 1,087 e
-17.74786;28.72544;SHELL L-D: 06:00-22:30 1,087 e
-17.86728;28.65103;SHELL L-D: 24H 1,087 e
-17.90769;28.65633;SHELL L-D: 06:00-23:00 1,087 e
-17.80319;28.83158;SHELL L-D: 07:00-21:00 1,087 e
-17.77125;28.66156;SHELL L-D: 06:00-22:00 1,087 e
-5.32056;35.89233;SHELL MUELLE DATO L-D: 24H 1,087 e
-17.93472;28.64169;SHELL L-D: 06:00-22:00 1,087 e
-16.66111;28.00708;MARINA DEL SUR L-D: 09:00-19:00 1,087 e
-13.56244;29.05042;CEPSA L-D: 24H 1,088 e
-17.10756;28.08967;DISA L: 07:00-22:00 1,088 e
-13.82458;28.92358;REPSOL L-D: 08:00-20:00 1,088 e
-13.68628;28.94831;A800-02 Horario Especial 1,088 e
-13.54653;28.97214;SHELL ARRECIFE II L-D: 07:00-23:00 1,088 e
